word,score
company,0.0013535287685586088
business,0.0010302953485400237
stock,0.0009997731492101666
years,0.0009869880550419548
earnings,0.0008621829999402925
said,0.0008248143848590522
investors,0.0007475674226267121
look,0.0007357566963698145
year,0.0006846369957711635
july,0.0006817292858573372
market,0.0006769128939078039
group,0.0006711311766469407
growth,0.0006611172435660167
given,0.0006605222289386356
like,0.0006505284807684363
latest,0.0006395488910404801
strong,0.0006371553216164893
share,0.0006336774790256871
high,0.000632923248902909
hong,0.000616158985963812
kong,0.000616158985963812
months,0.0006141683094940816
including,0.0006062918291163054
analysis,0.0005996506652522922
factors,0.0005951256879829181
new,0.0005937635509048839
june,0.000590346909409085
time,0.000589027586887968
check,0.0005813450057427689
want,0.0005785813043201802
good,0.0005773890278945492
management,0.0005762616270786461
low,0.0005710161532882233
cash,0.000561343546367334
important,0.0005613086952567818
ceo,0.0005601655152050507
recent,0.0005519437341002675
worth,0.0005463086398928915
largest,0.0005459575414563135
exchange,0.0005419590935032938
way,0.000541520189174213
today,0.0005345954367000847
performance,0.0005273614735904485
better,0.0005234731660359059
higher,0.000515826929390531
note,0.000514358318560669
long,0.0005102882947872038
price,0.0005037763855446658
based,0.0004971923356869583
financial,0.0004929704542859612
able,0.0004923628281903788
capital,0.0004905806270043295
industry,0.0004892731262581947
total,0.000488122972909681
case,0.000481177610805837
place,0.00047684578547215525
come,0.0004735290245882492
leading,0.0004730634770135924
different,0.0004692288687024341
world,0.0004683768496660333
shareholder,0.0004675266930950356
profit,0.00046746929968299465
markets,0.0004640856048644712
click,0.00046346108419950823
data,0.0004622140003776644
source,0.00046098692110127575
key,0.00045616257349085233
nasdaq,0.00044784392104394843
companies,0.00043762350598829775
fair,0.0004340055866113765
led,0.00043379543000833856
york,0.00043066330922822416
term,0.000426894920255975
added,0.0004257025449141523
buy,0.0004252086250720568
stocks,0.0004247475358329174
potential,0.0004214850488239909
use,0.00042123549615289465
signs,0.0004209686434455901
advertisement,0.000420801502590431
usually,0.00041732214951710825
investment,0.00041677148014458254
best,0.0004161322044022333
returns,0.00041538132900986583
making,0.0004151401802141886
driven,0.000414160995463828
technology,0.00041164764513110984
team,0.00040878727586854386
sign,0.0004077883053545409
great,0.0004039182487653735
free,0.0004032121895956378
significant,0.0004008361183611492
change,0.00039969702649205455
ago,0.00039956134041831056
second,0.0003954321368977992
current,0.0003948737460969242
especially,0.0003944032312862061
feel,0.00039434677202321815
deeper,0.0003922068933219697
investing,0.0003884241771980196
china,0.0003883861431442439
decision,0.00038496284772364473
growing,0.0003847050641304204
announced,0.0003841768726261523
create,0.0003840631299148606
consider,0.00038341591767698634
deal,0.00038124453257909843
listed,0.00038118132183799015
recently,0.00038032001959946676
know,0.0003797353001937068
trading,0.00037547233188519165
gain,0.00037539029619056217
shares,0.00037499592647631064
account,0.0003735076338502825
continue,0.0003732734613091568
risks,0.00037250809478309995
country,0.0003713599448872462
end,0.00036891850371180456
previously,0.00036853226668879163
date,0.0003673594361766038
comes,0.00036711984540956815
trends,0.00036622234172314927
number,0.00036256254463243933
warning,0.0003572168659788727
view,0.0003557187375195735
risk,0.00035421976062589085
sheet,8.043207685681894e-05
dividends,7.991545563616515e-05
interactive,7.94182375841447e-05
air,7.918253016018333e-05
wrong,7.917144010799697e-05
generally,7.886825471728712e-05
businesses,7.714448824297196e-05
flow,7.674432271618485e-05
simply,7.568723964863634e-05
countries,7.466636917300151e-05
learn,7.406577167679468e-05
contact,7.406045135266289e-05
weeks,7.356747096180908e-05
relevant,7.27812349438212e-05
range,7.227018786341138e-05
changed,7.215479553538106e-05
original,7.175847455306515e-05
offering,7.163488696792044e-05
american,7.113520322285077e-05
rights,7.098154339164395e-05
meaningful,6.973940750703787e-05
stay,6.874797350817347e-05
income,6.643082992043786e-05
federal,6.629106271405756e-05
raise,6.584825015345833e-05
central,6.542069473686439e-05
plenty,6.50814728490356e-05
institutions,6.209751698377121e-05
lose,6.209751698377121e-05
ability,6.0107546537200024e-05
available,5.8612806188807566e-05
larger,5.646654427415908e-05
nasdaqgs,5.613980405651742e-05
behalf,5.501418379537954e-05
deliver,5.318634568301894e-05
states,5.158834255703258e-05
turn,4.928707998110531e-05
job,4.4983348574807574e-05
space,4.452083573293333e-05
state,4.445942856631288e-05
insider,4.2207801230578024e-05
seeing,4.2144338659621974e-05
giving,4.211444700114925e-05
inflation,4.139890931695983e-05
gained,4.1257016032740146e-05
forecast,3.973834008955758e-05
decline,3.935596007911591e-05
misleading,3.932773621302728e-05
ahead,3.8226580428587866e-05
prior,3.7831575121099234e-05
compared,3.642722214735077e-05
probably,3.425456012875605e-05
sell,3.254486411049016e-05
president,3.243571884615908e-05
released,3.221971240012576e-05
news,2.9897608997018933e-05
trailing,2.907098171896969e-05
banking,2.866331487978787e-05
implies,2.84608090114606e-05
position,1.8102292709197718e-05
light,1.6248922123429543e-05
chief,1.4847145841015153e-05
large,1.2853219005409868e-05
april,1.2451378373195455e-05
face,1.2267786555887116e-05
result,1.0009250693513646e-05
factor,7.193020241093933e-06
measure,7.059919885172731e-06
zero,6.492677571909841e-06
comparing,6.226164120546204e-06
relatively,4.0645182050159035e-06
materially,2.940397109389408e-06
existing,2.7598717747007604e-06
increase,-4.740286047878014e-08
fed,-6.330046878848485e-06
safety,-6.659326212719697e-06
modest,-9.580848772900005e-06
reserve,-1.1463304106259845e-05
hedge,-1.2568603312028022e-05
following,-1.3177417419047679e-05
remains,-1.539437075755531e-05
portfolio,-1.724520425233788e-05
add,-1.9148409729900006e-05
multiple,-1.92128122037606e-05
issued,-2.0762656742403775e-05
ratio,-2.124205634996439e-05
nature,-2.1806016356596972e-05
early,-2.190431602470833e-05
holdings,-2.334776721962274e-05
receive,-2.612853533102273e-05
systems,-2.671940651389774e-05
encouraged,-2.7107594647261363e-05
updates,-2.9656094329304525e-05
influence,-3.2024549046694696e-05
solid,-3.56396081246447e-05
include,-3.6138049696082595e-05
impressive,-3.903512739648484e-05
rate,-3.920852713765607e-05
seen,-4.0352424337515154e-05
interests,-4.0437903190800774e-05
member,-4.1321513600015144e-05
actually,-4.141273267257652e-05
considering,-4.2370101984917455e-05
yield,-4.5598007929806815e-05
relative,-4.592799969336667e-05
prospects,-5.227443372721291e-05
invest,-5.2559189190175e-05
experts,-5.4511463497787873e-05
session,-5.5594502542566666e-05
shift,-5.91201426580606e-05
spending,-6.128567713245305e-05
says,-6.240314512441514e-05
run,-6.41647657632023e-05
services,-7.183901477432196e-05
concerns,-8.309640316456515e-05
operations,-8.320121736178643e-05
benchmark,-8.877972028172043e-05
software,-8.958937829741215e-05
hold,-9.421087878708407e-05
history,-0.00010387346203804693
purchased,-0.00011534073288360376
reasonable,-0.00013580420234332501
negative,-0.00013839265152506815
estimates,-0.00015456510693696515
basis,-0.00015560679840027046
previous,-0.0001581005367038871
