word,score
having,0.0003536861833652545
adding,0.00033580016342849315
debt,0.0003219978067819371
generating,0.0003106370090571386
broader,0.00028687290653153406
ago,0.0002841772669259856
ahead,0.00027393417502426666
advertisement,0.0002712762425334318
excited,0.0002586012145341257
add,0.0002581383390513537
measures,0.0002517697000206985
led,0.0002492766775310189
instance,0.00024731749825896587
longer,0.0002443149263163106
program,0.00023118211903747044
taken,0.00022687721105097347
little,0.00022129648114384924
history,0.000219468068759931
government,0.0002076222682193871
week,0.00020565096858333025
spending,0.000191268400317975
rates,0.00018978287699441743
develop,0.00018578142816359772
central,0.00016788279709396438
inflation,0.00016092669338582351
size,0.0001577521003087091
levels,0.00014301027951435827
challenges,0.00013550883725859923
effective,0.00013474943688774845
compare,0.0001329907225195447
pre,0.00012993508580085456
large,0.00012927512579529924
plus,0.00012778491365720302
greater,0.00012689487310917197
course,0.00012638130083453028
underlying,0.00012463302814120375
start,0.00012178921016730757
systems,0.00011982599763495914
likely,0.00011940676294907732
despite,0.00011549040939592651
note,0.00011441818892403699
historical,0.00011414362433008936
going,0.00011367767244279237
track,0.00011019371543086056
outlook,0.0001068650181161121
reduce,0.00010137557234305989
thanks,0.00010136614648046287
signs,0.00010102127418640377
maintain,9.731071649643185e-05
historic,9.289452866110978e-05
larger,9.271892642632502e-05
plc,9.217305793476438e-05
markets,8.412415307580821e-05
built,8.310811217527045e-05
half,8.304785756269769e-05
second,8.201721634467423e-05
considering,8.049948868348486e-05
role,7.969294844380531e-05
expand,7.630327793135379e-05
example,7.474331798596891e-05
employees,7.125652532563866e-05
comfortable,7.001121370138256e-05
interesting,6.717848336074847e-05
chart,6.639703822924923e-05
direct,6.380822367164092e-05
changes,6.193167927253633e-05
head,6.188580094040984e-05
bring,6.0151769528190106e-05
late,5.429018728306059e-05
probably,5.0215823699430305e-05
run,4.7023276754007596e-05
mean,4.6646949125365894e-05
affect,4.5605317820456043e-05
retail,4.272579199740756e-05
saw,4.269398717331664e-05
warning,3.7263531165425777e-05
associated,3.569211615740907e-05
pandemic,3.45506493216765e-05
reported,3.300200504902198e-05
solid,3.233806843504165e-05
liquidity,3.1990170371923455e-05
session,2.9431125672765878e-05
competitive,2.465666674765833e-05
deeper,2.453695286868485e-05
great,2.153662433380605e-05
sheet,1.998297187680149e-05
adjusted,1.6315253310887117e-05
spotted,1.022138396240453e-05
country,8.319010317431052e-06
space,7.0425106248484665e-06
perspective,6.416700532857564e-06
simple,5.513650433122699e-06
event,5.034597865930305e-06
options,4.640716157192408e-06
aware,4.056407797956815e-06
fall,1.7507962616582921e-06
discussed,1.5849311408992571e-06
reading,1.2108916705159026e-06
fast,8.148244736348061e-09
commercial,-1.459484458718936e-06
drop,-2.2837319864962224e-06
reserve,-2.7298958225636244e-06
previously,-3.6644899271507704e-06
increasing,-3.9504789531674515e-06
come,-4.537803899679585e-06
strength,-6.592637385528798e-06
questions,-7.253486177371228e-06
opportunity,-1.1138325999960599e-05
reflect,-1.2005857195653812e-05
situation,-1.413801723415458e-05
