word,score
having,0.0003679109710488778
going,0.0003498663126155191
contained,0.00032303739263737246
generating,0.0003108677149889687
broader,0.0003005876692011595
ago,0.00028634655903992436
underlying,0.00026684184306554503
instance,0.0002607303112471213
add,0.0002601088607235015
excited,0.0002584347006604366
longer,0.0002534236810150198
history,0.00023266829068320833
greater,0.00021384689701934117
adding,0.00021044695847289918
project,0.00020507447195123818
government,0.0001905838158317114
challenges,0.00019040670917798853
track,0.00018335278748717404
effective,0.00017785655598526867
increasing,0.00016939668992420608
chart,0.00016368217450556487
outlook,0.00016154423492754344
historical,0.0001573535098668992
levels,0.0001534862852450175
course,0.0001388709367431099
probably,0.00013585254610002672
compare,0.00013400591887465573
plus,0.0001287603710133649
maintain,0.00012860715068112216
looks,0.000125685592070558
rates,0.0001193190585253481
program,0.00011869576515657708
efficient,0.00011831221806848622
thanks,0.00010213993385817633
half,9.520670382798088e-05
second,9.416819511974349e-05
expand,9.377388788900688e-05
historic,9.360364720050757e-05
plc,9.287666906403739e-05
nature,9.255255646955112e-05
debt,9.193252437004955e-05
partners,9.021419537549996e-05
little,8.953704338782364e-05
trends,8.636822234971599e-05
note,8.41533338880129e-05
comfortable,8.20705436013122e-05
interesting,7.921618936494807e-05
affect,7.864762325179846e-05
ahead,7.83367368407389e-05
associated,7.616256627314957e-05
example,7.531387766525112e-05
great,7.499021356870227e-05
signs,7.279472157213355e-05
returns,7.210011941380761e-05
measures,6.75279605256122e-05
saw,6.204860660600304e-05
gaap,6.0346160706948076e-05
adjusted,5.877835738953511e-05
inflation,5.754842547176182e-05
pandemic,5.572361209811219e-05
approach,5.462283059445648e-05
acquisitions,5.459138681924733e-05
retail,5.243626728900609e-05
controls,5.225981566974958e-05
solid,5.1613635052932064e-05
property,5.076884891868627e-05
mean,4.700303270647556e-05
things,4.688972414402748e-05
competitive,4.6014165657915266e-05
team,4.0406882991194646e-05
sheet,3.916422478050683e-05
large,3.503956706911143e-05
deeper,3.410858206006412e-05
fast,3.2702383679317565e-05
advertisement,3.1179385682192334e-05
reflect,2.9980992481382405e-05
session,2.9655790754237375e-05
demand,2.9018906381727447e-05
world,2.6042483859853347e-05
progress,2.5375985371593884e-05
despite,2.3290192773464108e-05
employees,2.1057205626242726e-05
coverage,2.0105556511271752e-05
competition,1.9311094984660286e-05
come,1.8477342684130495e-05
start,1.8112182839364097e-05
perspective,1.7990576133790827e-05
trailing,1.3995206038369474e-05
reading,1.2745028272499993e-05
spotted,1.0299409794178611e-05
consistent,8.782209365047324e-06
warning,8.550278222751103e-06
country,8.382514212983961e-06
initiatives,7.70536398742899e-06
foreign,7.678550331698459e-06
space,7.096270247938913e-06
items,6.571213688838144e-06
simple,5.555739367726688e-06
security,5.087884248510668e-06
systems,4.024418759939695e-06
previously,3.5512921284786134e-06
learn,3.5487486336969715e-06
revenues,2.2919272883183217e-06
aware,1.946803796510684e-06
fall,1.7641611186175158e-06
drop,-2.3011650550954306e-06
considered,-2.3061085467992397e-06
image,-5.185010340907641e-06
anticipate,-6.578019901877107e-06
strength,-6.642962861754209e-06
driven,-6.893086170743519e-06
care,-7.1112500795931076e-06
questions,-7.3088563008626115e-06
changes,-9.508102537921424e-06
economy,-1.1488413283442768e-05
launch,-1.2449520443093919e-05
investments,-1.3301546638702238e-05
situation,-1.4245941029835149e-05
taking,-1.4275964162996956e-05
issues,-1.465461315141144e-05
role,-1.4921100185829019e-05
leverage,-1.6142829475552652e-05
dividends,-1.7941477156714514e-05
easily,-1.8382792285543515e-05
line,-2.307621310191909e-05
welcome,-2.3325695740324433e-05
advantage,-2.3325695740324433e-05
focus,-2.3896446284318348e-05
initial,-2.506683104656337e-05
reduce,-2.5767133307842757e-05
actions,-2.6939168949342015e-05
lot,-2.8190743749470996e-05
called,-2.8697263051383966e-05
national,-2.877683264715423e-05
idea,-2.989916587221679e-05
globally,-2.9924277663707636e-05
light,-3.1553741180970224e-05
mentioned,-3.6996295557623666e-05
coming,-3.904354438293589e-05
credit,-3.965186013124888e-05
reach,-4.030781713348473e-05
direct,-4.031140660665114e-05
opportunity,-4.1371599741901535e-05
beginning,-4.273401385728092e-05
china,-4.3455598125267925e-05
built,-4.417403973645498e-05
tell,-4.4251411752770226e-05
week,-4.433116876525349e-05
nearly,-4.439710286446567e-05
readers,-4.6013369208606174e-05
substantial,-4.609262747632063e-05
grew,-4.624255230826871e-05
eps,-4.719204187089083e-05
covered,-4.7586934786631315e-05
senior,-4.986855079398017e-05
sign,-5.057008391200381e-05
policy,-5.130536445331678e-05
assess,-5.258401603521679e-05
way,-0.000549445951106681
strong,-0.0005509476518547184
million,-0.0005521157438221977
globe,-0.0005562817774815407
risks,-0.00056024436620621
release,-0.0005611701416146825
certain,-0.0005616679567142786
matters,-0.0005644098136440856
account,-0.0005647912022961847
continue,-0.00056497160753798
december,-0.0005684406519788252
paid,-0.0005705459213997573
technology,-0.0005715539157955444
expectations,-0.0005717976549009007
analysis,-0.0005735218553069534
industrial,-0.0005748170926582878
meeting,-0.0005754104154381611
